video_url,user_url,username,title,view_num,created_at,shortdesc,collected_at
/watch?v=3fzPM3paFQE&pp=ygUbIHByZWRpY3RpdmUgcG9saWNpbmcgcmFjaXNt,/@PMbeers,PMbeers,Data Driven Predictive Policing is Inherently Racist,86,7 years,"On Tuesday, July 24, 2018, the Stop LAPD Spying Coalition made this presentation to the Los Angeles Police Commission.",2026-01-22 05:33:20.612878
/watch?v=AjoB-Tj9dsA&pp=ygUbIHByZWRpY3RpdmUgcG9saWNpbmcgcmFjaXNt0gcJCYcKAYcqIYzv,/@itsJODONNA,itsJODONNA,Predictive Policing | How it Leads to Mass Incarceration,354,8 years,Hope you guys enjoyed this video! Learn more on this topic by reading the sources I posted below. Follow my social media to stay ...,2026-01-22 05:33:20.614041
/watch?v=aIU614NzEHY&pp=ygUbIHByZWRpY3RpdmUgcG9saWNpbmcgcmFjaXNt,/@NACDLvideo,NACDLvideo,"Garbage In, Gospel Out: Predictive Policing and Social Media Monitoring in Criminal Cases",561,3 years,"More Proven Criminal Defense resources are available at: https://www.nacdl.org/store. Get access to Trial Guides, Current CLE ...",2026-01-22 05:33:20.617871
/shorts/ZPeZuBpJqBw,/@sumosizedginger3686,Sumo Sized Ginger,Predictive Policing  Is It Racist by Design,No,3 months,Weightloss #Positivity #Motivation.,2026-01-22 05:33:20.619450
/watch?v=q96UcGzybDI&pp=ygUbIHByZWRpY3RpdmUgcG9saWNpbmcgcmFjaXNt,/@telesurenglish,TeleSUR English,Ñ Don't Stop - Predictive Policing and Wrongful Arrests in Chicago,2.5K,9 years,"This week we look at the policy of 'predictive policing', a tactic being utilized by police departments all across the US, where ...",2026-01-22 05:33:20.623190
/watch?v=cMvGzxDUxQM&pp=ygUbIHByZWRpY3RpdmUgcG9saWNpbmcgcmFjaXNt,/@msnow,MS NOW,Shaq Brewster: DOJ Minneapolis police probe findings ‘validates’ claims of racial bias in policing,104K,2 years,The Department of Justice's investigation into the Minneapolis Police Department found police and the city engaged in a pattern of ...,2026-01-22 05:33:20.624797
/watch?v=k06RZJMKFuc&pp=ygUbIHByZWRpY3RpdmUgcG9saWNpbmcgcmFjaXNt,/@RSAConference,RSA Conference,Pre-Crime Detection of Active Shooters Using Predictive Policing Systems,2.1K,5 years,"Jeffrey Blatt, Founder, X Ventures Active shooters intending to cause mass casualties exhibit warning behaviors that are usually ...",2026-01-22 05:33:28.594776
/shorts/kkwj_wNIdAs,/@NueroClips,Nuero_Clips,Predictive Policing: How AI Reinforces Systemic Bias in Law Enforcement # ai #nextgenai,66,2 months,"This segment is exceptionally strong due to its highly controversial nature, linking AI to systemic racism and unjust policing.",2026-01-22 05:33:28.596495
/watch?v=QOgsVSYUYtc&pp=ygUbIHByZWRpY3RpdmUgcG9saWNpbmcgcmFjaXNt0gcJCYcKAYcqIYzv,/@IsisSaysHi,Isis,"Let Talk About Coding, Part 2: Predictive Policing, Smart Governance, and Medical Care",27,5 years,SOURCES https://www.makeuseof.com/tag/what-is-coding/ ...,2026-01-22 05:33:28.598078
/watch?v=pkGhPSoH7Xk&pp=ygUbIHByZWRpY3RpdmUgcG9saWNpbmcgcmFjaXNt,/@CBSNews,CBS News,"CBS Evening News with Scott Pelley - ""Predictive Policing"" making LA safer",5.3K,13 years,"The LAPD is implementing a computer-based program called ""Predictive Policing,"" which uses mathematical calculations to ...",2026-01-22 05:33:28.599278
