video_url,user_url,username,title,view_num,created_at,shortdesc,collected_at
/watch?v=3TEox662dLk&pp=ygUkIHByZWRpY3RpdmUgcG9saWNpbmcgcmFjaXNtIE5ldyBZb3Jr,/@CBS,CBS,"""Predictive Policing"" making LA safer",3.1K,13 years,"The LAPD is implementing a computer-based program called ""Predictive Policing,"" which uses mathematical calculations to ...",2026-01-22 05:47:30.997755
/watch?v=E2eEXYwV6LU&pp=ygUkIHByZWRpY3RpdmUgcG9saWNpbmcgcmFjaXNtIE5ldyBZb3Jr,/@FordSchool,Ford School of Public Policy,"""911, What is your prejudice?"": Racial bias and call-driven policing",489,6 years,"Washtenaw County Sheriff Jerry Clayton; Professor of Law Barry Friedman, New York University; and Jessica Gillooly, PhD ...",2026-01-22 05:47:31.001810
/watch?v=2_eemZ2Ob-0&pp=ygUkIHByZWRpY3RpdmUgcG9saWNpbmcgcmFjaXNtIE5ldyBZb3Jr,/@PIX11News,PIX11 News,"NYPD commissioner talks anti-Asian attacks, policing, marijuana",424,4 years,"Marijuana is one step closer to becoming legal in New York, which will have an impact on policing. This as the NYPD continues to ...",2026-01-22 05:47:31.005409
/watch?v=f3SzOTeJzkY&pp=ygUkIHByZWRpY3RpdmUgcG9saWNpbmcgcmFjaXNtIE5ldyBZb3Jr,/@CBSNewYork,CBS New York,"Police, Community Leaders Stand Up To Recent Hate Crimes",527,7 years,The NYPD and local community leaders are taking a stand against the recent rash of hate crimes across New York City. CBS2's ...,2026-01-22 05:47:39.046727
/watch?v=K-uvXgniNXc&pp=ygUkIHByZWRpY3RpdmUgcG9saWNpbmcgcmFjaXNtIE5ldyBZb3Jr,/@NBCNewYork,NBC New York,"News 4 New York: I-Team ""Inside CompStat"" Promo",2.4K,9 years,Thursday April 14th at 6pm on News 4 New York NYPD Commanders held accountable for spikes in crime happening on their ...,2026-01-22 05:47:39.049523
/watch?v=uIbt4svccwY&pp=ygUkIHByZWRpY3RpdmUgcG9saWNpbmcgcmFjaXNtIE5ldyBZb3Jr,/@PIX11News,PIX11 News,Racist graffiti at African Burial Ground National Monument in Manhattan investigated by NYPD,471,7 years,TheNYPD Hate Crimes Task Force is looking at surveillance video to determine who wrote racistgraffiti at the African Burial ...,2026-01-22 05:47:39.050898
/watch?v=pkGhPSoH7Xk&pp=ygUkIHByZWRpY3RpdmUgcG9saWNpbmcgcmFjaXNtIE5ldyBZb3Jr,/@CBSNews,CBS News,"CBS Evening News with Scott Pelley - ""Predictive Policing"" making LA safer",5.3K,13 years,"The LAPD is implementing a computer-based program called ""Predictive Policing,"" which uses mathematical calculations to ...",2026-01-22 05:47:39.052809
/watch?v=VZi_0oANO24&pp=ygUkIHByZWRpY3RpdmUgcG9saWNpbmcgcmFjaXNtIE5ldyBZb3Jr,/@APArchive,AP Archive,"New York City police were investigating five attacks on Asian women as possible bias crimes Friday,",883,10 years,(9 Apr 2010) HEADLINE: NYPD: 5 women attacked in possible bias crimes CAPTION: New York City police were investigating five ...,2026-01-22 05:47:39.055265
/watch?v=LM5MNOveTHM&pp=ygUkIHByZWRpY3RpdmUgcG9saWNpbmcgcmFjaXNtIE5ldyBZb3Jr,/@InstituteForJustice,Institute for Justice,“Predictive Policing” Algorithm Creates a Dystopian Nightmare for Residents of This Town,121K,4 years,"When the Institute for Justice filed suit against the so-called predictive policing program in Pasco County, Florida, the Sheriff's ...",2026-01-22 05:47:39.057656
/watch?v=cc5W9qmqsc8&pp=ygUkIHByZWRpY3RpdmUgcG9saWNpbmcgcmFjaXNtIE5ldyBZb3Jr,/@fox5ny,FOX 5 New York,Bill Bratton on the Future of Policing in America [INTERVIEW],571,4 years,Bill Bratton is the only person to have led the police departments of the two largest cities in the United States — Los Angeles and ...,2026-01-22 05:47:39.061146
/watch?v=1emf0l8f-JY&pp=ygUkIHByZWRpY3RpdmUgcG9saWNpbmcgcmFjaXNtIE5ldyBZb3Jr,/@NACDLvideo,NACDLvideo,Policing Black Bodies: Race + Pretrial Practices,340,5 years,https://www.nacdl.org/Content/Race-and-the-Criminal-Justice-System-Series More Proven Criminal Defense resources are ...,2026-01-22 05:47:39.063490
/watch?v=UFULFk98IOo&pp=ygUkIHByZWRpY3RpdmUgcG9saWNpbmcgcmFjaXNtIE5ldyBZb3Jr,/@onlinecausalinferencesemin2364,Online Causal Inference Seminar,Joseph Antonelli: Heterogeneous causal effects of neighborhood policing in New York City,821,4 years,"""Heterogeneous causal effects of neighborhood policing in New York City with staggered adoption of the policy"" Joseph Antonelli, ...",2026-01-22 05:47:39.066436
/watch?v=2oTF228zBlo&pp=ygUkIHByZWRpY3RpdmUgcG9saWNpbmcgcmFjaXNtIE5ldyBZb3Jr,/@bravenewfilms,Brave New Films,"""Stop and Frisk"" is Institutionalized Police Racism • BRAVE NEW FILMS",2.3K,10 years,NYPD will now be required to issue 'receipts' for Stop & Frisk stops. Stop & Frisk is a racist policy that disproportionally targets ...,2026-01-22 05:47:39.068025
/watch?v=sCvu25AU8pc&pp=ygUkIHByZWRpY3RpdmUgcG9saWNpbmcgcmFjaXNtIE5ldyBZb3Jr,/@NBCNewYork,NBC New York,Chinatown Residents Step Up Patrols After Latest Anti-Asian Attack | NBC New York,12K,4 years,Chinatown residents are standing together to stop the hate. Marc Santia reports.,2026-01-22 05:47:39.070193
/watch?v=EX8W4nLRS3U&pp=ygUkIHByZWRpY3RpdmUgcG9saWNpbmcgcmFjaXNtIE5ldyBZb3Jr,/@CBSNewYork,CBS New York,Sweeping police reform plan aims to address alleged racism on Long Island,11K,3 years,There's a sweeping police reform plan on Long Island to address alleged racism in policing. The new Suffolk County Police ...,2026-01-22 05:47:39.071809
/watch?v=LECleMsyjQw&pp=ygUkIHByZWRpY3RpdmUgcG9saWNpbmcgcmFjaXNtIE5ldyBZb3Jr,/@CBSNewYork,CBS New York,Anti-Asian Hate Crimes Have New York Communities On Edge,8.5K,4 years,The violence in Georgia resonates deeply here in New York as anti-Asian hate crimes have communities on edge; CBS2's ...,2026-01-22 05:47:39.073711
/watch?v=6kdQh7Sx4F0&pp=ygUkIHByZWRpY3RpdmUgcG9saWNpbmcgcmFjaXNtIE5ldyBZb3Jr,/@EliannaMintz,Elianna Mintz,A rare look inside NYPD's implicit bias training,303,7 years,"First on ""CBS This Morning,"" a new report released August 17th reveals how some of America's police academies are addressing ...",2026-01-22 05:47:39.076033
/watch?v=fejctPRgx04&pp=ygUkIHByZWRpY3RpdmUgcG9saWNpbmcgcmFjaXNtIE5ldyBZb3Jr0gcJCYcKAYcqIYzv,/@PIX11News,PIX11 News,Human rights group challenges NYPD tactics,169,5 years,The report stems from a Bronx protest where peaceful demonstrators were cornered.,2026-01-22 05:47:39.077520
